wf_m_per_s,flow,pco_percent
-1.2,Q=1.32 (design),66.563615
-1.1,Q=1.32 (design),64.063220
-1,Q=1.32 (design),61.743874
-0.9,Q=1.32 (design),59.586599
-0.8,Q=1.32 (design),57.574982
-0.7,Q=1.32 (design),55.694752
-0.6,Q=1.32 (design),53.933443
-0.5,Q=1.32 (design),52.280120
-0.4,Q=1.32 (design),50.725147
-0.3,Q=1.32 (design),49.260002
-0.2,Q=1.32 (design),47.877119
-0.1,Q=1.32 (design),46.569760
0,Q=1.32 (design),45.331902
0.1,Q=1.32 (design),44.158146
0.2,Q=1.32 (design),43.043639
0.3,Q=1.32 (design),41.984005
0.4,Q=1.32 (design),40.975289
0.5,Q=1.32 (design),40.013907
0.6,Q=1.32 (design),39.096604
0.7,Q=1.32 (design),38.220416
0.8,Q=1.32 (design),37.382639
0.9,Q=1.32 (design),36.580802
1,Q=1.32 (design),35.812640
1.1,Q=1.32 (design),35.076077
1.2,Q=1.32 (design),34.369200
1.3,Q=1.32 (design),33.690252
1.4,Q=1.32 (design),33.037609
1.5,Q=1.32 (design),32.409771
1.6,Q=1.32 (design),31.805351
1.7,Q=1.32 (design),31.223062
1.8,Q=1.32 (design),30.661710
1.9,Q=1.32 (design),30.120187
2,Q=1.32 (design),29.597460
2.1,Q=1.32 (design),29.092567
2.2,Q=1.32 (design),28.604610
2.3,Q=1.32 (design),28.132752
2.4,Q=1.32 (design),27.676209
2.5,Q=1.32 (design),27.234247
2.6,Q=1.32 (design),26.806179
2.7,Q=1.32 (design),26.391359
2.8,Q=1.32 (design),25.989182
2.9,Q=1.32 (design),25.599078
3,Q=1.32 (design),25.220513
3.1,Q=1.32 (design),24.852980
3.2,Q=1.32 (design),24.496006
3.3,Q=1.32 (design),24.149142
3.4,Q=1.32 (design),23.811963
3.5,Q=1.32 (design),23.484071
-3.5,Q=1.58,100.000000
-3.4,Q=1.58,100.000000
-3.3,Q=1.58,100.000000
-3.2,Q=1.58,100.000000
-3.1,Q=1.58,100.000000
-3,Q=1.58,100.000000
-2.9,Q=1.58,100.000000
-2.8,Q=1.58,99.468875
-2.7,Q=1.58,93.987133
-2.6,Q=1.58,89.078032
-2.5,Q=1.58,84.656295
-2.4,Q=1.58,80.652780
-2.3,Q=1.58,77.010829
-2.2,Q=1.58,73.683578
-2.1,Q=1.58,70.631928
-2,Q=1.58,67.822998
-1.9,Q=1.58,65.228936
-1.8,Q=1.58,62.825998
-1.7,Q=1.58,60.593810
-1.6,Q=1.58,58.514799
-1.5,Q=1.58,56.573719
-1.4,Q=1.58,54.757285
-1.3,Q=1.58,53.053864
-1.2,Q=1.58,51.453228
-1.1,Q=1.58,49.946346
