file,time_s,higacc_x_g,higacc_y_g,higacc_z_g,higacc_mag_g,inacc_x_ms,inacc_y_ms,inacc_z_ms,inacc_mag_ms,rot_x_degs,rot_y_degs,rot_z_degs,rot_mag_degs,pressure_kpa,treatment,concentric_pump_region,passage_type,leading_type,other_type
B300-0519082300,75.46,-2.3,5.1,2.7,6.2,-2.935,46.365,28.04,44.45388348,44.7,184,431,470.7601194,109.36,400_model,2,Leading edge strike,Direct,
B300-0519082300,75.4605,-2.6,4.1,2.3,5.4,-3.83575,46.31925,28.413,44.66462223,43.455,184.25,432.815,472.4036661,109.5595,400_model,2,Leading edge strike,Direct,
B300-0519082300,75.461,-4.1,4,4.4,7.2,-4.7365,46.2735,28.786,44.89196551,42.21,184.5,434.63,474.0518653,109.759,400_model,2,Leading edge strike,Direct,
B300-0519082300,75.4615,-4.3,4.6,3,7,-5.63725,46.22775,29.159,45.13570719,40.965,184.75,436.445,475.7046686,109.9585,400_model,2,Leading edge strike,Direct,
B300-0519082300,75.462,-5.1,6.3,3.7,8.9,-6.538,46.182,29.532,45.39563008,39.72,185,438.26,477.3620282,110.158,400_model,2,Leading edge strike,Direct,
B300-0519082300,75.4625,-3.2,3.5,4,6.2,-7.43875,46.13625,29.905,45.67150674,38.475,185.25,440.075,479.0238968,110.3575,400_model,2,Leading edge strike,Direct,
B300-0519082300,75.463,-3.5,5,3.3,6.9,-8.3395,46.0905,30.278,45.96310046,37.23,185.5,441.89,480.6902277,110.557,400_model,2,Leading edge strike,Direct,
B300-0519082300,75.4635,-4.7,4.6,3.2,7.3,-9.24025,46.04475,30.651,46.27016604,35.985,185.75,443.705,482.3609745,110.7565,400_model,2,Leading edge strike,Direct,
B300-0519082300,75.464,-4.5,4.6,2.7,7,-10.141,45.999,31.024,46.59245082,34.74,186,445.52,484.0360916,110.956,400_model,2,Leading edge strike,Direct,
B300-0519082300,75.4645,-2.8,4.4,3,6,-11.04175,45.95325,31.397,46.92969543,33.495,186.25,447.335,485.7155338,111.1555,400_model,2,Leading edge strike,Direct,
